match,teamInnings,battingPos,batsmanName,runs,balls,4s,6s,SR,out/not_out,match_id
Australia Vs Netherlands,Australia,8,Pat Cummins (c),12,9,2,0,133.33,not_out,ODI # 4681
Australia Vs Netherlands,Australia,9,Mitchell Starc,0,1,0,0,0.00,out,ODI # 4681
Australia Vs Netherlands,Australia,10,Adam Zampa,1,1,0,0,100.00,not_out,ODI # 4681
Australia Vs Netherlands,Netherlands,1,Vikramjit Singh,25,25,6,0,100.00,out,ODI # 4681
Australia Vs Netherlands,Netherlands,2,Max O'Dowd,6,9,1,0,66.66,out,ODI # 4681
Australia Vs Netherlands,Netherlands,3,Colin Ackermann,10,11,2,0,90.90,out,ODI # 4681
Australia Vs Netherlands,Netherlands,4,Sybrand Engelbrecht,11,21,1,0,52.38,out,ODI # 4681
Australia Vs Netherlands,Netherlands,5,Bas de Leede,4,7,1,0,57.14,out,ODI # 4681
Australia Vs Netherlands,Netherlands,6,Scott Edwards (c),12,22,0,0,54.54,not_out,ODI # 4681
Australia Vs Netherlands,Netherlands,7,Teja Nidamanuru,14,18,2,0,77.77,out,ODI # 4681
Australia Vs Netherlands,Netherlands,8,Logan van Beek,0,3,0,0,0.00,out,ODI # 4681
Australia Vs Netherlands,Netherlands,9,Roelof van der Merwe,0,1,0,0,0.00,out,ODI # 4681
Australia Vs Netherlands,Netherlands,10,Aryan Dutt,1,8,0,0,12.50,out,ODI # 4681
Australia Vs Netherlands,Netherlands,11,Paul van Meekeren,0,1,0,0,0.00,out,ODI # 4681
New Zealand Vs India,New Zealand,1,Devon Conway,0,9,0,0,0.00,out,ODI # 4678
New Zealand Vs India,New Zealand,2,Will Young,17,27,3,0,62.96,out,ODI # 4678
New Zealand Vs India,New Zealand,3,Rachin Ravindra,75,87,6,1,86.20,out,ODI # 4678
New Zealand Vs India,New Zealand,4,Daryl Mitchell,130,127,9,5,102.36,out,ODI # 4678
New Zealand Vs India,New Zealand,5,Tom Latham (c),5,7,1,0,71.42,out,ODI # 4678
New Zealand Vs India,New Zealand,6,Glenn Phillips,23,26,0,1,88.46,out,ODI # 4678
New Zealand Vs India,New Zealand,7,Mark Chapman,6,8,0,0,75.00,out,ODI # 4678
New Zealand Vs India,New Zealand,8,Mitchell Santner,1,2,0,0,50.00,out,ODI # 4678
New Zealand Vs India,New Zealand,9,Matt Henry,0,1,0,0,0.00,out,ODI # 4678
New Zealand Vs India,New Zealand,10,Lockie Ferguson,1,5,0,0,20.00,out,ODI # 4678
New Zealand Vs India,New Zealand,11,Trent Boult,0,1,0,0,0.00,not_out,ODI # 4678
New Zealand Vs India,India,1,Rohit Sharma (c),46,40,4,4,115.00,out,ODI # 4678
New Zealand Vs India,India,2,Shubman Gill,26,31,5,0,83.87,out,ODI # 4678
New Zealand Vs India,India,3,Virat Kohli,95,104,8,2,91.34,out,ODI # 4678
New Zealand Vs India,India,4,Shreyas Iyer,33,29,6,0,113.79,out,ODI # 4678
New Zealand Vs India,India,5,KL Rahul,27,35,3,0,77.14,out,ODI # 4678
New Zealand Vs India,India,6,Suryakumar Yadav,2,4,0,0,50.00,out,ODI # 4678
New Zealand Vs India,India,7,Ravindra Jadeja,39,44,3,1,88.63,not_out,ODI # 4678
New Zealand Vs India,India,8,Mohammed Shami,1,1,0,0,100.00,not_out,ODI # 4678
Bangladesh Vs Pakistan,Bangladesh,1,Tanzid Hasan,0,5,0,0,0.00,out,ODI # 4688
Bangladesh Vs Pakistan,Bangladesh,2,Litton Das,45,64,6,0,70.31,out,ODI # 4688
Bangladesh Vs Pakistan,Bangladesh,3,Najmul Hossain Shanto,4,3,1,0,133.33,out,ODI # 4688
Bangladesh Vs Pakistan,Bangladesh,4,Mushfiqur Rahim,5,8,1,0,62.50,out,ODI # 4688
Bangladesh Vs Pakistan,Bangladesh,5,Mahmudullah,56,70,6,1,80.00,out,ODI # 4688
Bangladesh Vs Pakistan,Bangladesh,6,Shakib Al Hasan (c),43,64,4,0,67.18,out,ODI # 4688
Bangladesh Vs Pakistan,Bangladesh,7,Towhid Hridoy,7,3,0,1,233.33,out,ODI # 4688
Bangladesh Vs Pakistan,Bangladesh,8,Mehidy Hasan Miraz,25,30,1,1,83.33,out,ODI # 4688
Bangladesh Vs Pakistan,Bangladesh,9,Taskin Ahmed,6,13,0,0,46.15,out,ODI # 4688
Bangladesh Vs Pakistan,Bangladesh,10,Mustafizur Rahman,3,7,0,0,42.85,out,ODI # 4688
Bangladesh Vs Pakistan,Bangladesh,11,Shoriful Islam,1,4,0,0,25.00,not_out,ODI # 4688
Bangladesh Vs Pakistan,Pakistan,1,Abdullah Shafique,68,69,9,2,98.55,out,ODI # 4688
Bangladesh Vs Pakistan,Pakistan,2,Fakhar Zaman,81,74,3,7,109.45,out,ODI # 4688
Bangladesh Vs Pakistan,Pakistan,3,Babar Azam (c),9,16,1,0,56.25,out,ODI # 4688
Bangladesh Vs Pakistan,Pakistan,4,Mohammad Rizwan,26,21,4,0,123.80,not_out,ODI # 4688
Bangladesh Vs Pakistan,Pakistan,5,Iftikhar Ahmed,17,15,2,0,113.33,not_out,ODI # 4688
Afghanistan Vs Australia,Afghanistan,1,Rahmanullah Gurbaz,21,25,2,0,84.00,out,ODI # 4696
Afghanistan Vs Australia,Afghanistan,2,Ibrahim Zadran,129,143,8,3,90.20,not_out,ODI # 4696
Afghanistan Vs Australia,Afghanistan,3,Rahmat Shah,30,44,1,0,68.18,out,ODI # 4696
Afghanistan Vs Australia,Afghanistan,4,Hashmatullah Shahidi (c),26,43,2,0,60.46,out,ODI # 4696
Afghanistan Vs Australia,Afghanistan,5,Azmatullah Omarzai,22,18,1,2,122.22,out,ODI # 4696
Afghanistan Vs Australia,Afghanistan,6,Mohammad Nabi,12,10,0,1,120.00,out,ODI # 4696
Afghanistan Vs Australia,Afghanistan,7,Rashid Khan,35,18,2,3,194.44,not_out,ODI # 4696
Afghanistan Vs Australia,Australia,1,David Warner,18,29,3,0,62.06,out,ODI # 4696
Afghanistan Vs Australia,Australia,2,Travis Head,0,2,0,0,0.00,out,ODI # 4696
Afghanistan Vs Australia,Australia,3,Mitchell Marsh,24,11,2,2,218.18,out,ODI # 4696
Afghanistan Vs Australia,Australia,4,Marnus Labuschagne,14,28,2,0,50.00,out,ODI # 4696
Afghanistan Vs Australia,Australia,5,Josh Inglis,0,1,0,0,0.00,out,ODI # 4696
Afghanistan Vs Australia,Australia,6,Glenn Maxwell,201,128,21,10,157.03,not_out,ODI # 4696
Afghanistan Vs Australia,Australia,7,Marcus Stoinis,6,7,1,0,85.71,out,ODI # 4696
Afghanistan Vs Australia,Australia,8,Mitchell Starc,3,7,0,0,42.85,out,ODI # 4696
Afghanistan Vs Australia,Australia,9,Pat Cummins (c),12,68,1,0,17.64,not_out,ODI # 4696
Netherlands Vs Afghanistan,Netherlands,1,Wesley Barresi,1,4,0,0,25.00,out,ODI # 4691
Netherlands Vs Afghanistan,Netherlands,2,Max O'Dowd,42,40,9,0,105.00,out,ODI # 4691
Netherlands Vs Afghanistan,Netherlands,3,Colin Ackermann,29,35,4,0,82.85,out,ODI # 4691
Netherlands Vs Afghanistan,Netherlands,4,Sybrand Engelbrecht,58,86,6,0,67.44,out,ODI # 4691
Netherlands Vs Afghanistan,Netherlands,5,Scott Edwards (c),0,1,0,0,0.00,out,ODI # 4691
Netherlands Vs Afghanistan,Netherlands,6,Bas de Leede,3,6,0,0,50.00,out,ODI # 4691
Netherlands Vs Afghanistan,Netherlands,7,Saqib Zulfiqar,3,15,0,0,20.00,out,ODI # 4691
Netherlands Vs Afghanistan,Netherlands,8,Logan van Beek,2,13,0,0,15.38,out,ODI # 4691
Netherlands Vs Afghanistan,Netherlands,9,Roelof van der Merwe,11,33,0,0,33.33,out,ODI # 4691
Netherlands Vs Afghanistan,Netherlands,10,Aryan Dutt,10,22,0,0,45.45,not_out,ODI # 4691
Netherlands Vs Afghanistan,Netherlands,11,Paul van Meekeren,4,24,0,0,16.66,out,ODI # 4691
Netherlands Vs Afghanistan,Afghanistan,1,Rahmanullah Gurbaz,10,11,2,0,90.90,out,ODI # 4691
Netherlands Vs Afghanistan,Afghanistan,2,Ibrahim Zadran,20,34,2,0,58.82,out,ODI # 4691
Netherlands Vs Afghanistan,Afghanistan,3,Rahmat Shah,52,54,8,0,96.29,out,ODI # 4691
Netherlands Vs Afghanistan,Afghanistan,4,Hashmatullah Shahidi (c),56,64,6,0,87.50,not_out,ODI # 4691
Netherlands Vs Afghanistan,Afghanistan,5,Azmatullah Omarzai,31,28,3,0,110.71,not_out,ODI # 4691
England Vs Netherlands,England,1,Jonny Bairstow,15,17,2,0,88.23,out,ODI # 4697
England Vs Netherlands,England,2,Dawid Malan,87,74,10,2,117.56,out,ODI # 4697
England Vs Netherlands,England,3,Joe Root,28,35,1,0,80.00,out,ODI # 4697
England Vs Netherlands,England,4,Ben Stokes,108,84,6,6,128.57,out,ODI # 4697
England Vs Netherlands,England,5,Harry Brook,11,16,2,0,68.75,out,ODI # 4697
England Vs Netherlands,England,6,Jos Buttler (c),5,11,0,0,45.45,out,ODI # 4697
England Vs Netherlands,England,7,Moeen Ali,4,15,0,0,26.66,out,ODI # 4697
England Vs Netherlands,England,8,Chris Woakes,51,45,5,1,113.33,out,ODI # 4697
England Vs Netherlands,England,9,David Willey,6,2,0,1,300.00,out,ODI # 4697
England Vs Netherlands,England,10,Gus Atkinson,2,1,0,0,200.00,not_out,ODI # 4697
England Vs Netherlands,England,11,Adil Rashid,1,1,0,0,100.00,not_out,ODI # 4697
England Vs Netherlands,Netherlands,1,Wesley Barresi,37,62,3,1,59.67,out,ODI # 4697
England Vs Netherlands,Netherlands,2,Max O'Dowd,5,11,1,0,45.45,out,ODI # 4697
England Vs Netherlands,Netherlands,3,Colin Ackermann,0,2,0,0,0.00,out,ODI # 4697
England Vs Netherlands,Netherlands,4,Sybrand Engelbrecht,33,49,3,1,67.34,out,ODI # 4697
England Vs Netherlands,Netherlands,5,Scott Edwards (c),38,42,3,1,90.47,out,ODI # 4697
England Vs Netherlands,Netherlands,6,Bas de Leede,10,12,2,0,83.33,out,ODI # 4697
England Vs Netherlands,Netherlands,7,Teja Nidamanuru,41,34,2,3,120.58,not_out,ODI # 4697
England Vs Netherlands,Netherlands,8,Logan van Beek,2,2,0,0,100.00,out,ODI # 4697
England Vs Netherlands,Netherlands,9,Roelof van der Merwe,0,4,0,0,0.00,out,ODI # 4697
England Vs Netherlands,Netherlands,10,Aryan Dutt,1,3,0,0,33.33,out,ODI # 4697
England Vs Netherlands,Netherlands,11,Paul van Meekeren,4,3,1,0,133.33,out,ODI # 4697
Sri Lanka Vs Pakistan,Sri Lanka,1,Pathum Nissanka,51,61,7,1,83.60,out,ODI # 4665
Sri Lanka Vs Pakistan,Sri Lanka,2,Kusal Perera,0,4,0,0,0.00,out,ODI # 4665
Sri Lanka Vs Pakistan,Sri Lanka,3,Kusal Mendis,122,77,14,6,158.44,out,ODI # 4665
Sri Lanka Vs Pakistan,Sri Lanka,4,Sadeera Samarawickrama,108,89,11,2,121.34,out,ODI # 4665
Sri Lanka Vs Pakistan,Sri Lanka,5,Charith Asalanka,1,3,0,0,33.33,out,ODI # 4665
Sri Lanka Vs Pakistan,Sri Lanka,6,Dhananjaya de Silva,25,34,3,0,73.52,out,ODI # 4665
Sri Lanka Vs Pakistan,Sri Lanka,7,Dasun Shanaka (c),12,18,0,0,66.66,out,ODI # 4665
Sri Lanka Vs Pakistan,Sri Lanka,8,Dunith Wellalage,10,8,1,0,125.00,out,ODI # 4665
Sri Lanka Vs Pakistan,Sri Lanka,9,Maheesh Theekshana,0,4,0,0,0.00,out,ODI # 4665
Sri Lanka Vs Pakistan,Sri Lanka,10,Matheesha Pathirana,1,3,0,0,33.33,not_out,ODI # 4665
Sri Lanka Vs Pakistan,Pakistan,1,Abdullah Shafique,113,103,10,3,109.70,out,ODI # 4665
Sri Lanka Vs Pakistan,Pakistan,2,Imam-ul-Haq,12,12,1,0,100.00,out,ODI # 4665
Sri Lanka Vs Pakistan,Pakistan,3,Babar Azam (c),10,15,1,0,66.66,out,ODI # 4665
Sri Lanka Vs Pakistan,Pakistan,4,Mohammad Rizwan,131,121,8,3,108.26,not_out,ODI # 4665
Sri Lanka Vs Pakistan,Pakistan,5,Saud Shakeel,31,30,2,0,103.33,out,ODI # 4665
Sri Lanka Vs Pakistan,Pakistan,6,Iftikhar Ahmed,22,10,4,0,220.00,not_out,ODI # 4665
Afghanistan Vs England,Afghanistan,1,Rahmanullah Gurbaz,80,57,8,4,140.35,out,ODI # 4670
Afghanistan Vs England,Afghanistan,2,Ibrahim Zadran,28,48,3,0,58.33,out,ODI # 4670
Afghanistan Vs England,Afghanistan,3,Rahmat Shah,3,8,0,0,37.50,out,ODI # 4670
Afghanistan Vs England,Afghanistan,4,Hashmatullah Shahidi (c),14,36,0,0,38.88,out,ODI # 4670
Afghanistan Vs England,Afghanistan,5,Azmatullah Omarzai,19,24,1,1,79.16,out,ODI # 4670
Afghanistan Vs England,Afghanistan,6,Ikram Alikhil,58,66,3,2,87.87,out,ODI # 4670
Afghanistan Vs England,Afghanistan,7,Mohammad Nabi,9,15,1,0,60.00,out,ODI # 4670
Afghanistan Vs England,Afghanistan,8,Rashid Khan,23,22,3,0,104.54,out,ODI # 4670
Afghanistan Vs England,Afghanistan,9,Mujeeb Ur Rahman,28,16,3,1,175.00,out,ODI # 4670
Afghanistan Vs England,Afghanistan,10,Naveen-ul-Haq,5,6,1,0,83.33,out,ODI # 4670
Afghanistan Vs England,Afghanistan,11,Fazalhaq Farooqi,2,4,0,0,50.00,not_out,ODI # 4670
Afghanistan Vs England,England,1,Jonny Bairstow,2,4,0,0,50.00,out,ODI # 4670
Afghanistan Vs England,England,2,Dawid Malan,32,39,4,0,82.05,out,ODI # 4670
Afghanistan Vs England,England,3,Joe Root,11,17,2,0,64.70,out,ODI # 4670
Afghanistan Vs England,England,4,Harry Brook,66,61,7,1,108.19,out,ODI # 4670
Afghanistan Vs England,England,5,Jos Buttler (c),9,18,1,0,50.00,out,ODI # 4670
Afghanistan Vs England,England,6,Liam Livingstone,10,14,1,0,71.42,out,ODI # 4670
Afghanistan Vs England,England,7,Sam Curran,10,23,0,0,43.47,out,ODI # 4670
Afghanistan Vs England,England,8,Chris Woakes,9,26,1,0,34.61,out,ODI # 4670
Afghanistan Vs England,England,9,Adil Rashid,20,13,2,0,153.84,out,ODI # 4670
Afghanistan Vs England,England,10,Mark Wood,18,22,3,0,81.81,out,ODI # 4670
Afghanistan Vs England,England,11,Reece Topley,15,7,3,0,214.28,not_out,ODI # 4670
New Zealand Vs Afghanistan,New Zealand,1,Devon Conway,20,18,3,0,111.11,out,ODI # 4673
New Zealand Vs Afghanistan,New Zealand,2,Will Young,54,64,4,3,84.37,out,ODI # 4673
New Zealand Vs Afghanistan,New Zealand,3,Rachin Ravindra,32,41,2,1,78.04,out,ODI # 4673
New Zealand Vs Afghanistan,New Zealand,4,Daryl Mitchell,1,7,0,0,14.28,out,ODI # 4673
New Zealand Vs Afghanistan,New Zealand,5,Tom Latham (c),68,74,3,2,91.89,out,ODI # 4673
New Zealand Vs Afghanistan,New Zealand,6,Glenn Phillips,71,80,4,4,88.75,out,ODI # 4673
New Zealand Vs Afghanistan,New Zealand,7,Mark Chapman,25,12,2,1,208.33,not_out,ODI # 4673
New Zealand Vs Afghanistan,New Zealand,8,Mitchell Santner,7,5,1,0,140.00,not_out,ODI # 4673
New Zealand Vs Afghanistan,Afghanistan,1,Rahmanullah Gurbaz,11,21,0,1,52.38,out,ODI # 4673
New Zealand Vs Afghanistan,Afghanistan,2,Ibrahim Zadran,14,15,2,0,93.33,out,ODI # 4673
New Zealand Vs Afghanistan,Afghanistan,3,Rahmat Shah,36,62,1,0,58.06,out,ODI # 4673
New Zealand Vs Afghanistan,Afghanistan,4,Hashmatullah Shahidi (c),8,29,1,0,27.58,out,ODI # 4673
New Zealand Vs Afghanistan,Afghanistan,5,Azmatullah Omarzai,27,32,2,0,84.37,out,ODI # 4673
New Zealand Vs Afghanistan,Afghanistan,6,Ikram Alikhil,19,21,3,0,90.47,not_out,ODI # 4673
New Zealand Vs Afghanistan,Afghanistan,7,Mohammad Nabi,7,9,1,0,77.77,out,ODI # 4673
New Zealand Vs Afghanistan,Afghanistan,8,Rashid Khan,8,13,0,1,61.53,out,ODI # 4673
New Zealand Vs Afghanistan,Afghanistan,9,Mujeeb Ur Rahman,4,3,1,0,133.33,out,ODI # 4673
New Zealand Vs Afghanistan,Afghanistan,10,Naveen-ul-Haq,0,1,0,0,0.00,out,ODI # 4673
New Zealand Vs Afghanistan,Afghanistan,11,Fazalhaq Farooqi,0,2,0,0,0.00,out,ODI # 4673
Netherlands Vs Bangladesh,Netherlands,1,Vikramjit Singh,3,9,0,0,33.33,out,ODI # 4685
Netherlands Vs Bangladesh,Netherlands,2,Max O'Dowd,0,3,0,0,0.00,out,ODI # 4685
Netherlands Vs Bangladesh,Netherlands,3,Wesley Barresi,41,41,8,0,100.00,out,ODI # 4685
Netherlands Vs Bangladesh,Netherlands,4,Colin Ackermann,15,33,1,0,45.45,out,ODI # 4685
Netherlands Vs Bangladesh,Netherlands,5,Scott Edwards (c),68,89,6,0,76.40,out,ODI # 4685
Netherlands Vs Bangladesh,Netherlands,6,Bas de Leede,17,32,2,0,53.12,out,ODI # 4685
Netherlands Vs Bangladesh,Netherlands,7,Sybrand Engelbrecht,35,61,3,0,57.37,out,ODI # 4685
Netherlands Vs Bangladesh,Netherlands,8,Logan van Beek,23,16,2,1,143.75,not_out,ODI # 4685
Netherlands Vs Bangladesh,Netherlands,9,Shariz Ahmad,6,8,0,0,75.00,out,ODI # 4685
Netherlands Vs Bangladesh,Netherlands,10,Aryan Dutt,9,6,0,1,150.00,out,ODI # 4685
Netherlands Vs Bangladesh,Netherlands,11,Paul van Meekeren,0,2,0,0,0.00,out,ODI # 4685
Netherlands Vs Bangladesh,Bangladesh,1,Litton Das,3,12,0,0,25.00,out,ODI # 4685
Netherlands Vs Bangladesh,Bangladesh,2,Tanzid Hasan,15,16,3,0,93.75,out,ODI # 4685
Netherlands Vs Bangladesh,Bangladesh,3,Mehidy Hasan Miraz,35,40,5,1,87.50,out,ODI # 4685
Netherlands Vs Bangladesh,Bangladesh,4,Najmul Hossain Shanto,9,18,2,0,50.00,out,ODI # 4685
Netherlands Vs Bangladesh,Bangladesh,5,Shakib Al Hasan (c),5,14,0,0,35.71,out,ODI # 4685
Netherlands Vs Bangladesh,Bangladesh,6,Mushfiqur Rahim,1,5,0,0,20.00,out,ODI # 4685
Netherlands Vs Bangladesh,Bangladesh,7,Mahmudullah,20,41,2,0,48.78,out,ODI # 4685
Netherlands Vs Bangladesh,Bangladesh,8,Mahedi Hasan,17,38,1,0,44.73,out,ODI # 4685
Netherlands Vs Bangladesh,Bangladesh,9,Taskin Ahmed,11,35,1,0,31.42,out,ODI # 4685
Netherlands Vs Bangladesh,Bangladesh,10,Mustafizur Rahman,20,35,2,1,57.14,out,ODI # 4685
Netherlands Vs Bangladesh,Bangladesh,11,Shoriful Islam,0,0,0,0,-,not_out,ODI # 4685
England Vs Bangladesh,England,1,Jonny Bairstow,52,59,8,0,88.13,out,ODI # 4664
England Vs Bangladesh,England,2,Dawid Malan,140,107,16,5,130.84,out,ODI # 4664
England Vs Bangladesh,England,3,Joe Root,82,68,8,1,120.58,out,ODI # 4664
England Vs Bangladesh,England,4,Jos Buttler (c),20,10,1,1,200.00,out,ODI # 4664
England Vs Bangladesh,England,5,Harry Brook,20,15,3,0,133.33,out,ODI # 4664
England Vs Bangladesh,England,6,Liam Livingstone,0,1,0,0,0.00,out,ODI # 4664
England Vs Bangladesh,England,7,Sam Curran,11,15,1,0,73.33,out,ODI # 4664
England Vs Bangladesh,England,8,Chris Woakes,14,11,2,0,127.27,out,ODI # 4664
England Vs Bangladesh,England,9,Adil Rashid,11,7,1,0,157.14,out,ODI # 4664
England Vs Bangladesh,England,10,Mark Wood,6,5,1,0,120.00,not_out,ODI # 4664
England Vs Bangladesh,England,11,Reece Topley,1,2,0,0,50.00,not_out,ODI # 4664
England Vs Bangladesh,Bangladesh,1,Litton Das,76,66,7,2,115.15,out,ODI # 4664
England Vs Bangladesh,Bangladesh,2,Tanzid Hasan,1,2,0,0,50.00,out,ODI # 4664
England Vs Bangladesh,Bangladesh,3,Najmul Hossain Shanto,0,1,0,0,0.00,out,ODI # 4664
England Vs Bangladesh,Bangladesh,4,Shakib Al Hasan (c),1,9,0,0,11.11,out,ODI # 4664
England Vs Bangladesh,Bangladesh,5,Mehidy Hasan Miraz,8,7,1,0,114.28,out,ODI # 4664
England Vs Bangladesh,Bangladesh,6,Mushfiqur Rahim,51,64,4,0,79.68,out,ODI # 4664
England Vs Bangladesh,Bangladesh,7,Towhid Hridoy,39,61,2,0,63.93,out,ODI # 4664
England Vs Bangladesh,Bangladesh,8,Mahedi Hasan,14,32,1,0,43.75,out,ODI # 4664
England Vs Bangladesh,Bangladesh,9,Taskin Ahmed,15,25,0,1,60.00,out,ODI # 4664
England Vs Bangladesh,Bangladesh,10,Shoriful Islam,12,14,2,0,85.71,out,ODI # 4664
England Vs Bangladesh,Bangladesh,11,Mustafizur Rahman,3,9,0,0,33.33,not_out,ODI # 4664
India Vs England,India,1,Rohit Sharma (c),87,101,10,3,86.13,out,ODI # 4686
India Vs England,India,2,Shubman Gill,9,13,1,0,69.23,out,ODI # 4686
India Vs England,India,3,Virat Kohli,0,9,0,0,0.00,out,ODI # 4686
India Vs England,India,4,Shreyas Iyer,4,16,0,0,25.00,out,ODI # 4686
India Vs England,India,5,KL Rahul,39,58,3,0,67.24,out,ODI # 4686
India Vs England,India,6,Suryakumar Yadav,49,47,4,1,104.25,out,ODI # 4686
India Vs England,India,7,Ravindra Jadeja,8,13,0,0,61.53,out,ODI # 4686
India Vs England,India,8,Mohammed Shami,1,5,0,0,20.00,out,ODI # 4686
India Vs England,India,9,Jasprit Bumrah,16,25,1,0,64.00,out,ODI # 4686
India Vs England,India,10,Kuldeep Yadav,9,13,1,0,69.23,not_out,ODI # 4686
India Vs England,England,1,Jonny Bairstow,14,23,2,0,60.86,out,ODI # 4686
India Vs England,England,2,Dawid Malan,16,17,2,1,94.11,out,ODI # 4686
India Vs England,England,3,Joe Root,0,1,0,0,0.00,out,ODI # 4686
India Vs England,England,4,Ben Stokes,0,10,0,0,0.00,out,ODI # 4686
India Vs England,England,5,Jos Buttler (c),10,23,1,0,43.47,out,ODI # 4686
India Vs England,England,6,Moeen Ali,15,31,0,0,48.38,out,ODI # 4686
India Vs England,England,7,Liam Livingstone,27,46,2,0,58.69,out,ODI # 4686
India Vs England,England,8,Chris Woakes,10,20,1,0,50.00,out,ODI # 4686
India Vs England,England,9,David Willey,16,17,0,2,94.11,not_out,ODI # 4686
India Vs England,England,10,Adil Rashid,13,20,2,0,65.00,out,ODI # 4686
India Vs England,England,11,Mark Wood,0,1,0,0,0.00,out,ODI # 4686
South Africa Vs Bangladesh,South Africa,1,Quinton de Kock,174,140,15,7,124.28,out,ODI # 4680
South Africa Vs Bangladesh,South Africa,2,Reeza Hendricks,12,19,1,0,63.15,out,ODI # 4680
South Africa Vs Bangladesh,South Africa,3,Rassie van der Dussen,1,7,0,0,14.28,out,ODI # 4680
South Africa Vs Bangladesh,South Africa,4,Aiden Markram (c),60,69,7,0,86.95,out,ODI # 4680
South Africa Vs Bangladesh,South Africa,5,Heinrich Klaasen,90,49,2,8,183.67,out,ODI # 4680
South Africa Vs Bangladesh,South Africa,6,David Miller,34,15,1,4,226.66,not_out,ODI # 4680
South Africa Vs Bangladesh,South Africa,7,Marco Jansen,1,1,0,0,100.00,not_out,ODI # 4680
South Africa Vs Bangladesh,Bangladesh,1,Tanzid Hasan,12,17,1,0,70.58,out,ODI # 4680
South Africa Vs Bangladesh,Bangladesh,2,Litton Das,22,44,3,1,50.00,out,ODI # 4680
South Africa Vs Bangladesh,Bangladesh,3,Najmul Hossain Shanto,0,1,0,0,0.00,out,ODI # 4680
South Africa Vs Bangladesh,Bangladesh,4,Shakib Al Hasan (c),1,4,0,0,25.00,out,ODI # 4680
South Africa Vs Bangladesh,Bangladesh,5,Mushfiqur Rahim,8,17,1,0,47.05,out,ODI # 4680
South Africa Vs Bangladesh,Bangladesh,6,Mahmudullah,111,111,11,4,100.00,out,ODI # 4680
South Africa Vs Bangladesh,Bangladesh,7,Mehidy Hasan Miraz,11,19,1,0,57.89,out,ODI # 4680
South Africa Vs Bangladesh,Bangladesh,8,Nasum Ahmed,19,19,3,0,100.00,out,ODI # 4680
South Africa Vs Bangladesh,Bangladesh,9,Hasan Mahmud,15,25,2,0,60.00,out,ODI # 4680
South Africa Vs Bangladesh,Bangladesh,10,Mustafizur Rahman,11,21,2,0,52.38,out,ODI # 4680
South Africa Vs Bangladesh,Bangladesh,11,Shoriful Islam,6,4,1,0,150.00,not_out,ODI # 4680
England Vs Sri Lanka,England,1,Jonny Bairstow,30,31,3,0,96.77,out,ODI # 4682
England Vs Sri Lanka,England,2,Dawid Malan,28,25,6,0,112.00,out,ODI # 4682
England Vs Sri Lanka,England,3,Joe Root,3,10,0,0,30.00,out,ODI # 4682
England Vs Sri Lanka,England,4,Ben Stokes,43,73,6,0,58.90,out,ODI # 4682
England Vs Sri Lanka,England,5,Jos Buttler (c),8,6,1,0,133.33,out,ODI # 4682
England Vs Sri Lanka,England,6,Liam Livingstone,1,6,0,0,16.66,out,ODI # 4682
England Vs Sri Lanka,England,7,Moeen Ali,15,15,1,0,100.00,out,ODI # 4682
England Vs Sri Lanka,England,8,Chris Woakes,0,4,0,0,0.00,out,ODI # 4682
England Vs Sri Lanka,England,9,David Willey,14,17,1,1,82.35,not_out,ODI # 4682
England Vs Sri Lanka,England,10,Adil Rashid,2,7,0,0,28.57,out,ODI # 4682
England Vs Sri Lanka,England,11,Mark Wood,5,6,1,0,83.33,out,ODI # 4682
England Vs Sri Lanka,Sri Lanka,1,Pathum Nissanka,77,83,7,2,92.77,not_out,ODI # 4682
England Vs Sri Lanka,Sri Lanka,2,Kusal Perera,4,5,1,0,80.00,out,ODI # 4682
England Vs Sri Lanka,Sri Lanka,3,Kusal Mendis (c),11,12,2,0,91.66,out,ODI # 4682
England Vs Sri Lanka,Sri Lanka,4,Sadeera Samarawickrama,65,54,7,1,120.37,not_out,ODI # 4682
South Africa Vs Sri Lanka,South Africa,1,Quinton de Kock,100,84,12,3,119.04,out,ODI # 4661
South Africa Vs Sri Lanka,South Africa,2,Temba Bavuma (c),8,5,2,0,160.00,out,ODI # 4661
South Africa Vs Sri Lanka,South Africa,3,Rassie van der Dussen,108,110,13,2,98.18,out,ODI # 4661
South Africa Vs Sri Lanka,South Africa,4,Aiden Markram,106,54,14,3,196.29,out,ODI # 4661
South Africa Vs Sri Lanka,South Africa,5,Heinrich Klaasen,32,20,1,3,160.00,out,ODI # 4661
South Africa Vs Sri Lanka,South Africa,6,David Miller,39,21,3,2,185.71,not_out,ODI # 4661
South Africa Vs Sri Lanka,South Africa,7,Marco Jansen,12,7,0,1,171.42,not_out,ODI # 4661
South Africa Vs Sri Lanka,Sri Lanka,1,Pathum Nissanka,0,3,0,0,0.00,out,ODI # 4661
South Africa Vs Sri Lanka,Sri Lanka,2,Kusal Perera,7,15,1,0,46.66,out,ODI # 4661
South Africa Vs Sri Lanka,Sri Lanka,3,Kusal Mendis,76,42,4,8,180.95,out,ODI # 4661
South Africa Vs Sri Lanka,Sri Lanka,4,Sadeera Samarawickrama,23,19,3,1,121.05,out,ODI # 4661
South Africa Vs Sri Lanka,Sri Lanka,5,Charith Asalanka,79,65,8,4,121.53,out,ODI # 4661
